id,name,start_date,end_date,wikidata
26,26th Parliament,2015-11-17,,Q20878969
25,25th Parliament,2015-06-23,2015-11-01,Q20054638
24,24th Parliament,2011-06-28,2015-06-07,Q6577342
23,23rd Parliament,2007-07-23,2011-06-28,Q18639046
22,22nd Parliament,2002-11-14,2007-07-23,Q19903105
21,21st Parliament,1999-04-18,2002-11-14,Q19903101
20,20th Parliament,1996-01-08,1999-04-18,Q19903100
19,19th Parliament,1991-11-06,1995-12-24,Q4595761
18,18th Parliament,1987-12-14,1991-10-20,Q23041526
17,17th Parliament,1983-11-24,1987-11-29,Q23041525
16,16th Parliament,1977-06-13,1980-09-12,Q23020181
15,15th Parliament,1973-10-24,1977-06-05,Q23041523
14,14th Parliament,1969-10-22,1973-10-14,Q23041522
13,13th Parliament,1965-10-22,1973-10-14,Q20988265
12,12th Parliament,1961-10-25,1973-10-14,Q20988264
11,11th Parliament,1957-11-01,1960-05-27,Q20988262
10,10th Parliament,1954-05-14,1957-11-01,Q20988260
9,9th Parliament,1950-05-22,1954-05-14,Q20988295
8,8th Parliament,1946-08-05,1950-05-22,Q20988294
7,7th Parliament,1943-03-08,1946-08-05,Q20988293
6,6th Parliament,1939-04-03,1943-03-08,Q20988292
5,5th Parliament,1935-03-01,1939-04-03,Q20988291
4,4th Parliament,1931-05-04,1935-03-01,Q20988288
3,3rd Parliament,1927-05-01,1931-05-04,Q6105156
2,2nd Parliament,1923-08-11,1927-11-01,Q6105188
1,1st Parliament,1920-04-23,1923-08-11,Q6105319
