id,position,label,description,start_date,term,end_date,replaces,replaced_by,party,constituency
Q12269600,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q12269600,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q14325293,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q14325293,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,,,,,
Q14325293,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q15043824,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q15043824,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,10th Jatiyo Sangshad,,,,,
Q15043824,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,2014,,,,
Q15782404,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q15782404,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,10th Jatiyo Sangshad,,,,,
Q15782404,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,2014,,,,
Q15818991,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q15818991,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q15834620,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q15834620,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q15837138,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q15837138,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,10th Jatiyo Sangshad,,,,,
Q15837138,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,2014,,,,
Q15841687,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q15841687,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,10th Jatiyo Sangshad,,,,,
Q15841687,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,2014,,,,
Q16058009,Q121998,ambassador,diplomatic envoy,1992,,2001,,,,
Q16058009,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2008,,,,,,
Q16058009,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,10th Jatiyo Sangshad,,,,,
Q16058009,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,2014,,,,
Q16148957,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q16148957,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q16215057,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q16215057,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q16345653,Q21272758,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
